license_id,vendor_id,cost_center_id,product_name,category,license_type,seats_purchased,seats_used,unit_price_monthly,annual_cost,purchase_date,renewal_date,is_active,contract_id
1,50,3,Jira,ITSM,Per-Seat,91,90,116.36,127065.12,2027-05-18,2030-05-17,1,29
2,41,15,Confluence,Collaboration,Per-Seat,46,26,16.71,9223.92,2026-10-13,2030-10-12,1,45
3,21,11,Slack,Collaboration,Per-Seat,181,144,107.31,233077.32,2027-12-22,2030-12-21,1,58
4,21,2,Slack,Collaboration,Per-Seat,77,38,85.64,79131.36,2024-01-24,2030-01-22,1,45
5,17,12,GitHub,DevTools,Per-Seat,22,13,90.05,23773.2,2024-01-03,2030-01-01,1,22
6,27,15,Datadog,Monitoring,Per-Seat,35,32,96.34,40462.8,2026-02-07,2030-02-06,1,74
7,27,7,Datadog,Monitoring,Per-Seat,185,93,58.54,129958.8,2027-08-26,2030-08-25,1,103
8,27,6,Datadog,Monitoring,Per-Seat,85,30,37.25,37995.0,2024-03-10,2030-03-08,1,14
9,27,9,Datadog,Monitoring,Per-Seat,97,45,50.05,58258.2,2024-06-01,2030-05-30,1,94
10,5,6,Splunk,Security,Enterprise,1,1,NULL,118453.99,2027-05-01,2030-04-30,1,115
11,31,7,ServiceNow,ITSM,Enterprise,1,1,NULL,32324.71,2027-08-31,2030-08-30,1,114
12,28,1,Okta,Security,Per-Seat,62,63,53.84,40056.96,2025-11-09,2030-11-08,1,71
13,28,2,Okta,Security,Per-Seat,196,142,81.99,192840.48,2028-01-18,2030-01-17,1,39
14,16,1,Zoom,Collaboration,Per-Seat,156,114,62.99,117917.28,2026-03-15,2030-03-14,1,7
15,24,7,Microsoft 365,Productivity,Per-Seat,85,78,78.01,79570.2,2024-06-29,2030-06-27,1,62
16,13,1,AWS,Cloud,Per-Seat,53,42,117.43,74685.48,2025-02-28,2030-02-26,1,61
17,8,13,GCP,Cloud,Per-Seat,179,95,79.89,171603.72,2026-09-28,2030-09-27,1,50
18,8,7,GCP,Cloud,Per-Seat,104,100,49.37,61613.76,2025-01-14,2030-01-12,1,58
19,8,8,GCP,Cloud,Per-Seat,77,50,37.5,34650.0,2024-04-02,2030-03-31,1,108
20,18,3,Azure,Cloud,Per-Seat,188,153,17.6,39705.6,2028-03-21,2030-03-20,1,45
21,35,13,Figma,Design,Per-Seat,109,100,54.89,71796.12,2024-05-05,2030-05-03,1,69
22,35,10,Figma,Design,Per-Seat,131,98,34.39,54061.08,2027-11-08,2030-11-07,1,39
23,35,4,Figma,Design,Per-Seat,111,108,88.0,117216.0,2024-06-11,2030-06-09,1,65
24,35,9,Figma,Design,Per-Seat,142,129,83.88,142931.52,2027-03-15,2030-03-14,1,80
25,10,13,Tableau,Analytics,Enterprise,1,1,NULL,33152.29,2026-07-08,2030-07-07,1,22
26,14,3,Snowflake,Data,Enterprise,1,1,NULL,23228.69,2026-05-17,2030-05-16,1,88
27,14,1,Snowflake,Data,Enterprise,1,1,NULL,36201.52,2026-06-10,2030-06-09,1,106
28,41,14,PagerDuty,Monitoring,Per-Seat,91,89,110.39,120545.88,2025-06-12,2030-06-11,1,9
29,41,10,PagerDuty,Monitoring,Per-Seat,109,80,69.83,91337.64,2024-06-28,2030-06-26,1,110
30,18,15,1Password,Security,Per-Seat,160,114,54.99,105580.8,2027-06-30,2030-06-29,1,54
31,18,14,1Password,Security,Per-Seat,47,35,73.26,41318.64,2024-11-03,2030-11-01,1,13
32,18,1,1Password,Security,Per-Seat,154,137,96.0,177408.0,2024-08-05,2030-08-03,1,112
33,18,12,1Password,Security,Per-Seat,98,94,37.58,44194.08,2027-01-01,2030-12-31,1,84
34,32,1,Notion,Collaboration,Per-Seat,168,130,85.69,172751.04,2024-10-22,2030-10-20,1,5
35,32,3,Notion,Collaboration,Per-Seat,94,78,13.52,15250.56,2026-03-21,2030-03-20,1,61
36,32,5,Notion,Collaboration,Per-Seat,105,38,99.55,125433.0,2025-07-04,2030-07-03,1,39
37,32,7,Notion,Collaboration,Per-Seat,81,76,104.12,101204.64,2025-09-28,2030-09-27,1,88
38,7,3,Asana,Project Mgmt,Per-Seat,123,109,43.94,64855.44,2028-03-04,2030-03-03,1,94
39,7,5,Asana,Project Mgmt,Per-Seat,164,131,29.05,57170.4,2026-05-03,2030-05-02,1,28
40,27,13,GitLab,DevTools,Enterprise,1,1,NULL,98106.49,2026-11-21,2030-11-20,1,9
41,27,9,GitLab,DevTools,Enterprise,1,1,NULL,89504.79,2025-09-29,2030-09-28,1,52
42,27,6,GitLab,DevTools,Enterprise,1,1,NULL,96954.23,2024-10-05,2030-10-03,1,68
43,27,1,GitLab,DevTools,Enterprise,1,1,NULL,18039.56,2027-03-10,2030-03-09,1,25
44,13,4,Zendesk,Support,Enterprise,1,1,NULL,62927.11,2024-03-09,2030-03-07,1,118
45,24,5,HubSpot,CRM,Enterprise,1,1,NULL,68038.27,2026-08-08,2030-08-07,1,82
46,24,6,HubSpot,CRM,Enterprise,1,1,NULL,86523.31,2024-09-11,2030-09-09,1,31
47,24,10,Salesforce CRM,CRM,Enterprise,1,1,NULL,72890.04,2027-04-16,2030-04-15,1,45
48,24,8,Salesforce CRM,CRM,Enterprise,1,1,NULL,102953.65,2024-12-01,2030-11-29,1,34
49,24,3,Salesforce CRM,CRM,Enterprise,1,1,NULL,102241.37,2028-03-14,2030-03-13,1,12
50,24,14,Salesforce CRM,CRM,Enterprise,1,1,NULL,17882.3,2025-08-06,2030-08-05,1,7
51,11,14,Miro,Collaboration,Per-Seat,67,55,38.14,30664.56,2027-08-18,2030-08-17,1,53
52,11,4,Miro,Collaboration,Per-Seat,15,14,116.32,20937.6,2026-11-17,2030-11-16,1,88
53,1,15,Lucidchart,Design,Per-Seat,12,6,76.13,10962.72,2027-05-16,2030-05-15,1,40
54,1,3,Lucidchart,Design,Per-Seat,191,152,55.47,127137.24,2027-12-30,2030-12-29,1,49
55,1,11,Lucidchart,Design,Per-Seat,127,66,60.27,91851.48,2025-12-15,2030-12-14,1,87
56,1,14,Lucidchart,Design,Per-Seat,169,106,19.46,39464.88,2026-12-02,2030-12-01,1,66
57,43,9,Postman,DevTools,Per-Seat,82,45,20.11,19788.24,2027-06-01,2030-05-31,1,9
58,43,11,Postman,DevTools,Per-Seat,80,63,104.49,100310.4,2025-11-19,2030-11-18,1,34
59,43,10,Postman,DevTools,Per-Seat,192,195,80.96,186531.84,2027-09-05,2030-09-04,1,25
60,10,15,New Relic,Monitoring,Enterprise,1,1,NULL,57430.33,2027-05-13,2030-05-12,1,41
61,10,1,New Relic,Monitoring,Enterprise,1,1,NULL,29692.6,2027-10-26,2030-10-25,1,4
62,42,5,Vault,Security,Enterprise,1,1,NULL,92356.87,2026-03-06,2030-03-05,1,75
63,42,15,Vault,Security,Enterprise,1,1,NULL,119449.14,2027-12-21,2030-12-20,1,105
64,42,7,Vault,Security,Enterprise,1,1,NULL,51032.54,2025-01-24,2030-01-22,1,92
65,42,13,Vault,Security,Enterprise,1,1,NULL,87063.4,2025-03-31,2030-03-30,1,82
66,31,9,Terraform,DevOps,Enterprise,1,1,NULL,107031.95,2027-09-08,2030-09-07,1,24
67,31,5,Terraform,DevOps,Enterprise,1,1,NULL,25248.32,2025-08-24,2030-08-23,1,17
68,31,3,Terraform,DevOps,Enterprise,1,1,NULL,42158.44,2028-02-26,2030-02-25,1,104
